Mensaje,Clasificación,,,,,,,,,,,,,,,,,
felicidadessss Dios lo llene de bendiciones, le mando un abrazo, pasela de maravilla en compañia de su hermosa familia y que cumpla muchos m,,,,,,,,,,,,,,,,
Señorón muchísimas felicidad Dios lo bendiga siempre junto con su bella familia y ya se la sabe estamos con ustede en todo momento saludos,,,,,,,,,,,,,,,,,,
¡¡¡ Feliz cumpleaños !!! Que Dios le bendiga y le conceda mucha felicidad siempre con su bella familia!,,,,,,,,,,,,,,,,,,
felicidades Sr. Almada Ke dios lo bendiga y le brinde muchos años más,,,,,,,,,,,,,,,,,,
👏🏻👏🏻👏🏻felicidades por aquí también ! que siga el festejo y que cumplas muchos más así como estos !,,,,,,,,,,,,,,,,,,
Muchisimas felicidades Gustavo que la haya pasado de lo mejor en compañia de sus seres queridos. Dios los bendiga. Saludos,,,,,,,,,,,,,,,,,,
Feliz Cumpleaños Gustavo...apenas empieza lo mejor...Un abrazo!!!,,,,,,,,,,,,,,,,,,
Muchas Felicidades Gustavo!! Que Dios lo Siga Bendiciendo!,,,,,,,,,,,,,,,,,,
felicidades Gustavo, que cumplas muchos mas. Un abrazo,,,,,,,,,,,,,,,,,
Muchas felicidades sr gustavo que la siga pasando muy consentido 😊 un abrazo,,,,,,,,,,,,,,,,,,
Muchas Felicidades Gustavo,  que la sigas pasando bien, un abrazo !!,,,,,,,,,,,,,,,,
Muchísimas felicidades Gustavo, que la este pasando de maravilla!,,,,,,,,,,,,,,,,,
Muchas felicidades x su cumpleaños y x su compañera tmb!!!! U. Abrazooooo,,,,,,,,,,,,,,,,,,
Felicidades Gustavo Almada Bórquez un fuerte abrazo y vamos puro pa delante,,,,,,,,,,,,,,,,,,
Muchas felicidades Gustavo , que la sigas pasando de lo mejor.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Muchas felicidades que se la pase muy bien.  Saludos,,,,,,,,,,,,,,,,,,
Felicidades y Dios le preste muchos años más de vida.,,,,,,,,,,,,,,,,,,
Muchas felicidades y bendiciones.....saludos,,,,,,,,,,,,,,,,,,
Feliz cumpleaños sr.almada un abrazo saludos,,,,,,,,,,,,,,,,,,
Muchas felicidades....que pase un excelente día.,,,,,,,,,,,,,,,,,,
y las demas becas para univeesidad para promedio un poco mas bajo ya hay?,,,,,,,,,,,,,,,,,,
Mary Mizquez,,,,,,,,,,,,,,,,,,
Ay cuando tenga una oportunidad de echarse una vuelta a las aves del castillo, para que vea las lámparas de led que costaron algunos millone,,,,,,,,,,,,,,,,,
Bien hecho =),,,,,,,,,,,,,,,,,,
Genial!!!,,,,,,,,,,,,,,,,,,
Como no me invitaron yo k ocupo de ustede,,,,,,,,,,,,,,,,,,
Sr. Almada, con esa actitud de servicio que demuestra , nos hace sentir que importamos, que se nos escucha como ciudadanos. Usted esta hacie,,,,,,,,,,,,,,,
Muchas felicidades por su esfuerzo por querer sacar a  nuestro municipio del hueco en el que estamos necesitamos muchas manos como las de us,,,,,,,,,,,,,,,,,,
Wow felicitaciones Sr. Almada!! Como hace falta  a los cajemenses que alguien nos ponga atención... Y se ponga en nuestro lugar para ver com,,,,,,,,,,,,,,,,,,
Es bueno saber que hay alguien que se preocupa por nosotros, los ciudadanos, por nuestra ciudad siga adelante Sr.Almada en lo particular lo ,,,,,,,,,,,,,,,,
Felicidades por sus acciones, pq todos en cajeme sabemos que no tiene necesidad de hacer estos gestos pero los hace por su compromiso con la,,,,,,,,,,,,,,,,,
Si la gente no fuera tan sucia con su mismo entorno otra cosa ffuera..y no esperar q. Otras  limpien lo q. Ocacionan.hay q cooperar y ser ma,,,,,,,,,,,,,,,,,,
Tenemos que apoyar, juntos podemos lograrlo, nuestro próximo presidente municipal,,,,,,,,,,,,,,,,
Muchas felicidadesz sr. Gustavo almada borquez usted si tiene buena actitud ..,,,,,,,,,,,,,,,,,,
En serio?!!! Por que no lo vi, me hubiera encantado saludarlo, mi familia y yo lo apreciamos mucho,,,,,,,,,,,,,,,,
"Así es, el que quiera ser grande entre los hombres , tiene que enseñarse a servir a los demás. 
FELICIDADES!!!,",,,,,,,,,,,,,,,,,,
Te felicito Gustavo..muy positiva tu Actitud y Labor de ayuda comunitaria....SUERTE..,,,,,,,,,,,,,,,,,,
Muy bien por el Sr almada bravo y enhorabuena muchas gracias por preocuparse por la gente de barrio,,,,,,,,,,,,,,,,,,
De veras que es de admirar súper bien que ese movimiento me gusta cáeme nadie lo detiene felicidades Gustavo Almada,,,,,,,,,,,,,,,,,,
Que bueno que aiga personas que en realidad se preocupe por cajeme felicidades? 👍👍👍👏👏,,,,,,,,,,,,,,,,,,
"Muchas felicidades al sr 
Gustavo Almada x esas acciones que si son de provecho para los ciudadanos 
Bravo y siga para adelante,",,,,,,,,,,,,,,,,,,
No te detengas, y adelante que llegaras al exito!!,,,,,,,,,,,,,,,,,
Así sea se señor lo felicito,,,,,,,,,,,,,,,,,,
Felicidades Sr.  Almada gente como usted se necesita en esta ciudad,  mi voto seguirá siendo para USTED!!,,,,,,,,,,,,,,,,,
Bien por el señor Gustavo Aldama...  !!,,,,,,,,,,,,,,,,,,
En mi colonia, hay muchos lugares que son foco rojo para el mosquito del Dengue también Señor, ojalá nos pudieran ayudar por acá!!.,,,,,,,,,,,,,,,,
Algo kiere este sr. Almada y no es dinero sus intenciones es la presidencia municipal,,,,,,,,,,,,,,,,,,
A ústed si le gusta lo limpio no como a otrosss....,,,,,,,,,,,,,,,,,,
Sisisi guztavo almada,,,,,,,,,,,,,,,,,,
Te felicitamos de parte de toda la familia Gustavo, tenemos la fortuna de conocer  tu trayectoria, tanto de empresario como  profesional, y ,,,,,,,,,,,,,,,
No hay mejor demostracion que esa......el ejemplo....enhorabuena.... suerte !!!,,,,,,,,,,,,,,,,,,
muy bonita familia, saludos,,,,,,,,,,,,,,,,,
Saludos Familia!!,,,,,,,,,,,,,,,,,,
Suerte Lic. Vamos a repetir.... Go Broncos!!,,,,,,,,,,,,,,,,,,
"Yo soy fan desde aquel Super Bowl que perdieron con Los Vaqueros en 1996, Son el equipo mas popular en Estados Unidos con su ""Terrible towel,",,,,,,,,,,,,,,,,,,
Esas funciones no se olvidan al lograr el puesto pero parece que ya se hizo ley demostremos que somos un partido diferente siempre apoyandol,,,,,,,,,,,,,,,,,,
Como siempre señor Gustavo muy bien construyendo ciudadanía!!!👍,,,,,,,,,,,,,,,,,,
Ojalá la ciudadanía agarrara el rollo que el votar por los mismo es seguir igual pues no les interesa el pueblo sino la familia de ellos,,,,,,,,,,,,,,,,,,
las colonias y las zonas rurales que le pertenecen al municipio,,,,,,,,,,,,,,,,,,
las colonias y toda la ciudad estan en abandono.,,,,,,,,,,,,,,,,,,
No tengo la menor duda  volvera a tener mi voto  #porquequierouncambio,,,,,,,,,,,,,,,,,,
Así se debería de considerar a la sociedad, al tomar decisiones trascendentales como la licitación de los servicios públicos. Saludos.,,,,,,,,,,,,,,,,,
Señor @Gustavo Almada Bojorquez es la unoca esperanza para cajeme cuente con todo mi apoyo estamos con usted felicidades!!,,,,,,,,,,,,,,,,,,
Y usted apoyando la privatización sr.peor se va poner en las colonias populares,que decepción.,,,,,,,,,,,,,,,,,
Gustavo te admiro y respeto más por ser natural y valiente al hacer presencia como familia en TODO lo q representa apoyo en general y sin di,,,,,,,,,,,,,,,,,,
Chale señor no pensé qe fuera así tan de mente cerrada pensé qe era mas inteligente,,,,,,,,,,,,,,,,,,
Señor, esa marcha no era a favor de la familia, sino en contra de los nuevos modelos de familias, eso incluye madres solteras, personas que ,,,,,,,,,,,,,,
Valgame Gustavo, no pensaba que fueras asi, de mente tan cerrada como la gente que participa en eso,,,,,,,,,,,,,,,,
No creo que haya alguien que no este en favor de la familia, pero alguien con diferente orientación también es familia, me suena un poco dis,,,,,,,,,,,,,,,,
al 100 Gustavo,,,,,,,,,,,,,,,,,,
Saludos,,,,,,,,,,,,,,,,,,
Que padre que fueron !! No me toco verlos les mando un abrazo #yodecidoXlafamilia,,,,,,,,,,,,,,,,,,
Gustavo,mis respetos,ayer lo vi n un restaurante,usted,siempre tan sencillo y Seguro,mis respetos,saludos!!!!,,,,,,,,,,,,
Muchas gracias por apoyar por el futuro y bienestar de nustras familias.,,,,,,,,,,,,,,,,,,
Gracias por apoyar la defensa de la familia!!!,,,,,,,,,,,,,,,,,,
Animo señ gustabo eche ganas no se rinda x pekeños comentarios,,,,,,,,,,,,,,,,,,
papa, mama e hijos,,,,,,,,,,,,,,,,,
Saludos Gustavo.,,,,,,,,,,,,,,,,,,
Eso estodo. Don Gustavo.,,,,,,,,,,,,,,,,,,
👪,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Me siento decepcionada con su posicion en esta marcha, esta marcha lo unico que quiere fomentar es la comodidad de las personas sobre lo que,,,,,,,,,,,,,,,,,
Sr. Gustavo, que bueno que le gusta marchar en apoyo a la familia, pero mi pregunta es porque no marcho de la misma manera cuando se hizo la,,,,,,,,,,,,,,,,
Dice que acudió por el motivo de que esta a favor de la familia, está bien, lo que no está bien es que la marcha se trato de estar en contra,,,,,,,,,,,,,,,,
Muchas Felicidades por acompañar esta Marcha a Favor de la Familia!!,,,,,,,,,,,,,,,,,,
Fascistas y neo nazis aztecas.... Todos panistas priistas y ex panistas y ex priistas... #Asco,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
En este momento dejo de seguir a este fascista... Bye bye,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SE LLAMA ROBA-MIENTO AL CIUDADANO.   CON EL RATA DEL DIENTE- GRUESO. SALUDOS. PARTIDO PA- TI TO.,,,,,,,,,,,,,,,,,,
saludos don gustavo...cuidese.,,,,,,,,,,,,,,,,,,
Ol buen viaje saludos,,,,,,,,,,,,,,,,,,
Ojala y se pudiera  asr algo,,,,,,,,,,,,,,,,,,
Puro hornos,,,,,,,,,,,,,,,,,,
Saludos don gustavo,,,,,,,,,,,,,,,,,,
Estado de emergencia en Cajeme las cuadrillas de bacheo desperdicio de dinero, ya se necesita arreglar calles ,laa aspirinas  salen sobrando,,,,,,,,,,,,,,,,
Tengo tantos comentarios negativos del tráfico de ciudad Obregón :D Saludos,,,,,,,,,,,,,,,,,,
Muchos baches y de Faustino mejor ni hablar lo esperamos en las próximas elecciones por el municipio con usted si habrá resultados,,,,,,,,,,,,,,,,,,
Mucho ciudado voltea para todos lados no me lo Ballan a atropellar tango Carro mi futuro presidente,,,,,,,,,,,,,,,,,,
Seguramente se refiere ala lentitúd d los gobernantes d cajéme.,,,,,,,,,,,,,,,,,,
tan buen clima el de la capirucha,,,,,,,,,,,,,,,,,,
No no no...y si...saludos señorón...estamos con ud....!!!,,,,,,,,,,,,,,,,,,
Saludos Gustavo, espero que esté bien ...!!!,,,,,,,,,,,,,,,,,
"Saludos Sr. Gustavo! 
Suerte en su estancia por allá!,",,,,,,,,,,,,,,,,,,
asi es señor gustabo almada muy sierto aki por los vaches jaja,,,,,,,,,,,,,,,,,,
Cuide se Dios lo Bendiga,,,,,,,,,,,,,,,,,,
"Buen viaje saludos 
Señor Gustavo,",,,,,,,,,,,,,,,,,,
Algo  por  cd obregon,,,,,,,,,,,,,,,,,,
Jejejejeje,,,,,,,,,,,,,,,,,,
buen día señor no sólo en la ciudad en comisarías y delegaciones es el mismo problema y mi bella tinajera lo espera estamos igual o peor un ,,,,,,,,,,,,,,,,,,
Saludos mi Gustavo Almada,,,,,,,,,,,,,,,,,,
Sigo cabalmente sus publicaciones y, sus comentarios los veo en su lugar, algo que me llama la atención es que, no es político y eso ayuda a,,,,,,,,,,,,,,,
Saludos don Gustavo  Dios los bendiga buen viaje!...,,,,,,,,,,,,,,,,,,
Beca telmex habra mas convocatorias?,,,,,,,,,,,,,,,,,,
Nada mas es para el municipio de cajeme o tambien para otros,,,,,,,,,,,,,,,,,,
Si no puedo comprobar ingresos, entra? Desempleado actualmente,,,,,,,,,,,,,,,,,
Solo publica?,,,,,,,,,,,,,,,,,,
A partir de que grado se dan,,,,,,,,,,,,,,,,,,
A partir de que grado se dan ?,,,,,,,,,,,,,,,,,,
Juan Carlos Gonzalez Ruvalcaba para k le digas ala bianka,,,,,,,,,,,,,,,,,,
Solo escuelas públicas? 😢,,,,,,,,,,,,,,,,,,
Disculpe becas son por medio de,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
Ilse Rosas,,,,,,,,,,,,,,,,,,
Giselle Alejandra Gabriela Leonel,,,,,,,,,,,,,,,,,,
Myriam Morales Osmara Luna,,,,,,,,,,,,,,,,,,
Mercedes Salas Lopez Mercedes Lopez Diana Laura Salas,,,,,,,,,,,,,,,,,,
Carolina Ruelas,,,,,,,,,,,,,,,,,,
Betty Bmmr Marcos Medina,,,,,,,,,,,,,,,,,,
AbygaIl Grijalva,,,,,,,,,,,,,,,,,,
Mi familia y yo firmamos el día de ayer...Ojalá y toda la sociedad firmara....para que los políticos no tengan tantos privilegios....pues al,,,,,,,,,,,,,,,,,,
Me encuentro en la Ciudad de Mexico, desde aqui hay manera de firmar?,,,,,,,,,,,,,,,,,
Ánimo Almada,,,,,,,,,,,,,,,,,,
donde puedo ir a firmar?,,,,,,,,,,,,,,,,,,
Por la 200 y 5???,,,,,,,,,,,,,,,,,,
muy bien Gustavo  ya estamos listos para trabajar y sacar al Prian de la  alcaldia,  necesitamos  gentye nueva limpia y que real mente  vea ,,,,,,,,,,,,,,,,,
#fuerzaAlmada💪🏼,,,,,,,,,,,,,,,,,,
Al cien!,,,,,,,,,,,,,,,,,,
K bien don Gustavo,,,,,,,,,,,,,,,,,,
Gente como usted cambiaría está ciudad.... No cabe duda,,,,,,,,,,,,,,,,,,
Y esperamos muy pronta tu bisita por aca,,,,,,,,,,,,,,,,,,
Cuando nos busitaras aki en tu pueblo de hornos para firmas estamos contigo gustabo,,,,,,,,,,,,,,,,,,
Y gente como usted ocupamos akiii en este pueblo  por ke aki no asen nada nostienen en el abandono,,,,,,,,,,,,,,,,,,
¿Cuántas firmas se necesitan?,,,,,,,,,,,,,,,,,,
Estamos contogo gustabo yabez ke aki por pokito y ganabas pura gente tuya  abemos akiii yano keremos ni pri ni pan puro mobimiento ciudadano,,,,,,,,,,,,,,,,,,
👍,,,,,,,,,,,,,,,,,,
Aber kerian ke ganara el pri para ke subieran todo ubirran mas muertes  y donde esta el gobierno priista ke ase nadaaaa,,,,,,,,,,,,,,,,,,
Eso pasa por elegir a gente inexperta para que nos gobiernen, o mejor dicho gente que no le tiene ni el más mínimo apreció a su ciudad, que ,,,,,,,,,,,,,,,,
Lo mismo hicieron en una de las calles que construyeron para el nuevo estadio de beis..,,,,,,,,,,,,,,,,,,
No manchen pongan el poste en medio en la raya amarilla cuando la pinten ja ja ja ja,,,,,,,,,,,,,,,,,,
Así es nuestro gobierno en sus tres niveles,municipal,estatal y federal.ya no nos debe de extrañar.,,,,,,,,,,,,,,,,
Jajajajajaja y según ellos contratan a las mejores compañías para realizar los trabajos, si estan iguales de pen... 😅,,,,,,,,,,,,,,,,,
No estan terminadas las vialidades, asi como tampoco estan abiertas,  esos postes se pusieron para alimentar de energia al estadio y poder t,,,,,,,,,,,,,,,,
Una pregunta sr.Almada para cuando se van a terminar de arreglar el otro carril de la internacional o asi se va quedar,,,,,,,,,,,,,,,,,,
Se va a postular en el 2018?,,,,,,,,,,,,,,,,,,
Lo veo y no lo creo es increible,,,,,,,,,,,,,,,,,,
Pareciera que se burlan de nosotros !!!!,,,,,,,,,,,,,,,,,,
nada mas falta q le pongan una lampara a ese poste jajajaja..... Que se puede esperar de la gente que nos gobierna... Son casos perdidos,,,,,,,,,,,,,,,,,,
no se enojen que no saben que para el próximo año salen los modelos que vuelan ya jajajaj,,,,,,,,,,,,,,,,,,
Es la manera mas tonta que a trabajado esta administración,,,,,,,,,,,,,,,,,,
Es un bug en la vida real :v,,,,,,,,,,,,,,,,,,
Apenas de puede creer ...,,,,,,,,,,,,,,,,,,
Sr. Gustavo Almada el regidor de Movimiento Ciudadano voto a favor de la privatización de la recolección de basura?,,,,,,,,,,,,,,,,,,
siempre pasa lo mismo, la  QUINTANA ROO  cuantas vese la han  desbaratado y abierto  y nunca terminan con eso.,,,,,,,,,,,,,,,,,
Ya luego dicen que sólo sucede en navoyork...,,,,,,,,,,,,,,,,,,
Jajajajajaja mas pendejos no se puede, o si?,,,,,,,,,,,,,,,,,
"y también  no entiendo en los semáforos,  
Por que marcan flecha verde  cuando no hay  un carril exclusivo para dar vuelta?.. eso solo lo he,",,,,,,,,,,,,,,,,,,
Donde es eso?? :O,,,,,,,,,,,,,,,,,,
No es posible tanta ...PENDEJEZ..!!!,,,,,,,,,,,,,,,,,,
Una buena pregunta, esperando una mejor respuesta, saludos,,,,,,,,,,,,,,,,
SPM...  son chingaderas ...,,,,,,,,,,,,,,,,,,
Karlitha Cruz Mauro Leal Fierro Javier Hernandez,,,,,,,,,,,,,,,,,,
cuales son los requisitos y fechas por favor y lo felicito sr.gustavo almada por todo lo que ase,,,,,,,,,,,,,,,,,,
K bien señ amada dios lo bendijo,,,,,,,,,,,,,,,,,,
Sr Gustavo Almada becas a nivel preparatoria no van a tener,,,,,,,,,,,,,,,,,,
Me encanta cajeme gracias   porque en verdad son momentos dificiles para los estudiantes cuando los padtes no tenemos como pagarles universi,,,,,,,,,,,,,,,,,,
UTS entraria en el programa,,,,,,,,,,,,,,,,,,
Juan Carlos Estrada Cardenas,,,,,,,,,,,,,,,,,,
Yulissa Valenzuela,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Not vayan acomfundir con el valón y t agarren apagadas Fili.jaja,,,,,,,,,,,,,,,,,,
Que bien ¡¡¡ quiero una camiseta ¡¡¡ felicidades,,,,,,,,,,,,,,,,,,
👏👏👏,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Suerte,,,,,,,,,,,,,,,,,,
Muy bien equipo Felicidades Sr. Gustavo Almada,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Las becas que van a estarbtramitando para los alumnos de preparatoria todavia siguen?,,,,,,,,,,,,,,,,,,
Bellanid Estravar,,,,,,,,,,,,,,,,,,
Y beca para universidad tendrán???,,,,,,,,,,,,,,,,,,
Natividad Figueroa Beltran,,,,,,,,,,,,,,,,,,
Perla Acosta, Isaias Galaviz Vayan a ver q onda pleves :),,,,,,,,,,,,,,,,,
Modesta Imelda Parra Lopez Mely para el Rey,,,,,,,,,,,,,,,,,,
Aimee,,,,,,,,,,,,,,,,,,
"Guadalupe Hernandez
Imelda Ruiz,",,,,,,,,,,,,,,,,,,
Flor Isela Velazquez Gutierrez,,,,,,,,,,,,,,,,,,
Lupita Castro Verdugo,,,,,,,,,,,,,,,,,,
Mi hija paso a la ingeniería en la UTS pero todavía no son las inscripciones inician hasta el lunes y no nos pueden extender la constancia q,,,,,,,,,,,,,,,,,,
Y si ya solicitó una beca del gobierno federal?,,,,,,,,,,,,,,,,,,
Yo quiero una beca, hay oportunidad todavía???,,,,,,,,,,,,,,,,,
Algun telefono?,,,,,,,,,,,,,,,,,,
En donde se dejan los papeles?,,,,,,,,,,,,,,,,,,
Podemos llevar de huatabampo también Gustavo deme un cel para  marcar,,,,,,,,,,,,,,,,,,
David Zurdo Yeeral Verdugo,,,,,,,,,,,,,,,,,,
Siempre han solicitado mis hijas y a ninguna le ha llegado y tenían buen promedio haber si en esta gracias se Gustavo almada,,,,,,,,,,,,,,,,,,
Muy buena beca lo digo con orgullo, mis hijos la aprovecharon y todo muy bien ...gracias por su apoyo Sr. Gustavo Almada Bórquez,,,,,,,,,,,,,,,,,
Disculpa, estas hablando de la beca fundación TELMEX o cual beca? Porque he estado revisando la pagina oficial y todavía no publican nada :/,,,,,,,,,,,,,,,,,
Gracias checare,,,,,,,,,,,,,,,,,,
Mi vida checa esto Jesus Ernesto Rivera Prado,,,,,,,,,,,,,,,,,,
Yennissel Vega mira mija,,,,,,,,,,,,,,,,,,
Lucio Valenzuela Monge para tu niña,,,,,,,,,,,,,,,,,,
Judith Judyth Salas,,,,,,,,,,,,,,,,,,
Alberto Medina mira,,,,,,,,,,,,,,,,,,
Mira Astro Sanchez Fraire,,,,,,,,,,,,,,,,,,
Dany Dany Tellez, Manrique Tellez,,,,,,,,,,,,,,,,,
Dulce Esperanza Sandoval Alcaraz Airam Sandoval,,,,,,,,,,,,,,,,,,
esta muy bien y aprovecharia la  oportunidad y  conocerlo,,,,,,,,,,,,,,,,,,
Ana Gabriela Quintero 😢,,,,,,,,,,,,,,,,,,
Alfredo Ibarra Gael Rivera Luis Rivera,,,,,,,,,,,,,,,,,,
Ivette Valle,,,,,,,,,,,,,,,,,,
"Guadalupe Hernandez
Evelyn Ruiz G,",,,,,,,,,,,,,,,,,,
Marcos Verdugo, Paola Coronado,,,,,,,,,,,,,,,,,
Y que. van a componer todo lo que esta mal.,,,,,,,,,,,,,,,,,,
Si como no jajajaja,,,,,,,,,,,,,,,,,,
Que bien Ernesto Villa se dio cuenta,,,,,,,,,,,,,,,,,,
Muy mal la decisión que están tomando los regidores, cuál es su postura en relación al proceso de la privatización, movimiento ciudadano por,,,,,,,,,,,,,,,,
Y en cajeme le aprueban todo al PRI , DOBLE.MORAL,,,,,,,,,,,,,,,,,
Hasta que hora van a estar??,,,,,,,,,,,,,,,,,,
Doble moral,,,,,,,,,,,,,,,,,,
En familia ,,Todavía me acuerdo de esas tortas ricas que hizo en una reunión el año pasado salieron súper de cochinita muy buenas saludos,,,,,,,,,,,,,,,,
Un saludo y afectuoso abrazo a toda esa bonita familia,,,,,,,,,,,,,,,,,,
Saludos Gustavo, por cierto es ensalada de pollo?,,,,,,,,,,,,,,,,,
Igual ..en familia ..!!saludos!!,,,,,,,,,,,,,,,,,,
Exelente fam. Dios los bendiga,,,,,,,,,,,,,,,,,,
Hermosa familia Alex Almada al gun dia los invitare a eta su humilde casa a comer frijolitos y tortillas de harina resien echas saludos,,,,,,,,,,,,,,,,,,
A pues muy buen encerrados por lo de los rayos ultravioleta !! Besos a los 3 !!,,,,,,,,,,,,,,,,,,
Saludos Alex y gustavo,,,,,,,,,,,,,,,,,,
Buen provecho Saludos,,,,,,,,,,,,,,,,,,
Bendecido domingo para esta hermosa familia,,,,,,,,,,,,,,,,,,
Hermosa familia los recuerdo con cariño,,,,,,,,,,,,,,,,,,
Gusto de verlos saludos cuidense.,,,,,,,,,,,,,,,,,,
Consentida Betty?. Saludos Gustavo.,,,,,,,,,,,,,,,,,,
Felisidad buen probecho,,,,,,,,,,,,,,,,,,
Invite Nn!!!,,,,,,,,,,,,,,,,,,
Qe hicieron Alex?,,,,,,,,,,,,,,,,,,
Saludos Gustavo,,,,,,,,,,,,,,,,,,
Provechito sr Gustavo y familia,,,,,,,,,,,,,,,,,,
Saludos,  buen provecho, muy bien k apapachen y descanse la reyna d la casa.,,,,,,,,,,,,,,,,
Dominguito familiar en casa..con carne asada saludos  a ud y a su familia,,,,,,,,,,,,,,,,,,
Muy bien gracias a Dios también con pocos miembros de familia,,,,,,,,,,,,,,,,,,
Muy bomita fam dios los bendiga,,,,,,,,,,,,,,,,,,
y que es de comida?,,,,,,,,,,,,,,,,,,
Feliz con tu pollito hermoso , Alex te mando besos.,,,,,,,,,,,,,,,,,
Enséñale por favor esta gráfica a nuestro querido señor presente municipal, ya ve que meses anteriores dijo que aquí no había violencia e in,,,,,,,,,,,,,,,,,
Quisiera desir muchas cosas pero no tiene caso lo que diga, nadie va hacer nada y el presidente munisipal, monton de inseguridad, y todos es,,,,,,,,,,,,,,,
mas de 10 carros robados diariamente.. no se merece estar en amarillo...,,,,,,,,,,,,,,,,,,
Falto el morado pa la chingada,,,,,,,,,,,,,,,,,,
Terrible!!!?,,,,,,,,,,,,,,,,,,
Desilusion al 100%....son la misma rata solo Revolcada.... quédense esperando votos porque ya la gente se canso...verán si no!!,,,,,,,,,,,,,,,,,,
Todos son iguales ni a cual irle,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
Se paso de se,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Gracias a dios...el es nuestro dr.! Que gusto que su sra.madre este mejor de salud.....bonito domingo,saludos....!,,,,,,,,,,,,,,,,,
La misericordia de dios es para siempre al igual que su bendición, que siempre la favorezca.saludos amigo,,,,,,,,,,,,,,,,,
Que bien gracias a nuestro padre y que dios la siga bendiciendo con mucha salud salud sr Gustavo almada,,,,,,,,,,,,,,,,,,
Dios todo lo puede dios bendiga x siempre asu madre saludos a la familia,,,,,,,,,,,,,,,,,,
Un cordial saludo Don Gustavo! Mis respetos y buenos deseos para usted y su familia!!,,,,,,,,,,,,,,,,,,
La bondad y el poder de dios es infinita que el guarde y bendiga a su sra madre,,,,,,,,,,,,,,,,,,
Bendito sea el señor mucha bendiones para tada la familia amen,,,,,,,,,,,,,,,,,,
Enhorabuena Gustavo, te felicito por ello..cuidala.,,,,,,,,,,,,,,,,,
Saludos mi buen Gustavo, un abrazo.,,,,,,,,,,,,,,,,,
Dios es infinito todo poderoso amén,,,,,,,,,,,,,,,,,,
"Hermosa !! 😘🙅🏻
Dios la bendice 🙏🏻🙏🏻,",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Que gusto verlos en el lugar favorito para ella!!  Los quiero,,,,,,,,,,,,,,,,,,
GAD🙏🏼❤️que bendicion,,,,,,,,,,,,,,,,,,
Qué bien saludos,,,,,,,,,,,,,,,,,,
Gracias ha todos mucha bendiciones buen dia,,,,,,,,,,,,,,,,,,
Gracias señor por bendecir ha esta familia amem,,,,,,,,,,,,,,,,,,
K la virgen siempre este con uds y todo su familia amen,,,,,,,,,,,,,,,,,,
Gracias senor por unir nuestra fe bendiones para todos,,,,,,,,,,,,,,,,,,
Saludos Agustín y Gustavo.,,,,,,,,,,,,,,,,,,
El Sr Agustín, una gran persona saludo para los dos y muy buenos dias,,,,,,,,,,,,,,,,,
Cómo lucen, un saludo!!!,,,,,,,,,,,,,,,,,
Saludos Gustavo y Agustín un fuerte abrazo,,,,,,,,,,,,,,,,,,
Saludos para los Dos!! Dios los Bendiga,,,,,,,,,,,,,,,,,,
Saludos mi inge dios lo bendiga,,,,,,,,,,,,,,,,,,
Bendiciones !!!! Sr , Agustín y se Gustavo,,,,,,,,,,,,,,,,,
Tal vez están esperando a que se electrocute un cristiano , y ahí si , se van hacer bola, municipales, semefo, lo de la funeraria, pei, mili,,,,,,,,,,,
La zona norte Gustavo, esperemos y arreglen la california.,,,,,,,,,,,,,,,,,
Pepe Avilés, creo que tienes don de adivinador.,,,,,,,,,,,,,,,,,
Para cuando una transmisión en vivo de usted Sr. Gustavo comentando acerca del tema de la privatización del servicio de recolección de basur,,,,,,,,,,,,,,,,,,
Una pregunta mas para el sr. Almada dice ke no nos va a costar un peso mas. Osea de donde se pagara. Ala empresa x que todo dinero ke hay en,,,,,,,,,,,,,,,,,,
Pura decepción entre más días más conocemos el cochinero que se aprobó , y de los parquímetros eso es no tener madre..,,,,,,,,,,,,,,,,,
Veia antes ya no su movimiento bueno sr. Almada hoy solo decepcion. Votando sus colegas en cabildo. X la privatizacion de la basura. Ke resp,,,,,,,,,,,,,,,,,,
Todos lo politicos don una lacra y Almada y su partido no son la excepción ya lo estamos viendo levantando el dedito y sin chistar pero  el ,,,,,,,,,,,,,,,,,,
y sueldos acordes a la realidad del pais o a la capacidad profesional que ellos demuestren para gobernar,,,,,,,,,,,,,,,,,,
En familia la verdadera riqueza del ser humano saludos bendiciones .,,,,,,,,,,,,,,,,,,
Muy bien Gustavo disfrutando de tu familia....un saludo...suerte..,,,,,,,,,,,,,,,,,,
Felicidades que bonita familia bendiciones para todos,,,,,,,,,,,,,,,,,,
